title	url	rating	metascore	votes	runtime
The Christmas Chronicles	https://www.imdb.com//title/tt2990140/?ref_=adv_li	7.1	52	31772	104
Alpha	https://www.imdb.com//title/tt4244998/?ref_=adv_li	6.7	63	31697	96
How It Ends	https://www.imdb.com//title/tt5246700/?ref_=adv_li	5.0	36	31381	113
When We First Met	https://www.imdb.com//title/tt5783956/?ref_=adv_li	6.4	36	31095	97
A Wrinkle in Time	https://www.imdb.com//title/tt1620680/?ref_=adv_li	4.2	53	31039	109
Johnny English Strikes Again	https://www.imdb.com//title/tt6921996/?ref_=adv_li	6.3	39	29579	89
Ralph Breaks the Internet	https://www.imdb.com//title/tt5848272/?ref_=adv_li	7.4	71	29394	112
Sorry to Bother You	https://www.imdb.com//title/tt5688932/?ref_=adv_li	7.0	80	28056	111
Adrift	https://www.imdb.com//title/tt6306064/?ref_=adv_li	6.6	56	27865	96
Truth or Dare	https://www.imdb.com//title/tt6772950/?ref_=adv_li	5.1	35	27815	100
Set It Up	https://www.imdb.com//title/tt5304992/?ref_=adv_li	6.5	62	27379	105
Unsane	https://www.imdb.com//title/tt7153766/?ref_=adv_li	6.4	63	26743	98
Eighth Grade	https://www.imdb.com//title/tt7014006/?ref_=adv_li	7.5	90	25849	93
Widows	https://www.imdb.com//title/tt4218572/?ref_=adv_li	7.4	84	25029	129
Anon	https://www.imdb.com//title/tt5397194/?ref_=adv_li	6.1	54	24944	100
Creed II	https://www.imdb.com//title/tt6343314/?ref_=adv_li	7.7	66	24693	130
Peter Rabbit	https://www.imdb.com//title/tt5117670/?ref_=adv_li	6.6	51	24439	95
Bumblebee	https://www.imdb.com//title/tt4701182/?ref_=adv_li	7.3	67	23376	114
Peppermint	https://www.imdb.com//title/tt6850820/?ref_=adv_li	6.5	29	23253	101
Mute	https://www.imdb.com//title/tt1464763/?ref_=adv_li	5.4	35	23202	126
Hotel Artemis	https://www.imdb.com//title/tt5834262/?ref_=adv_li	6.1	58	22819	94
American Animals	https://www.imdb.com//title/tt6212478/?ref_=adv_li	7.0	68	22666	116
Apostle	https://www.imdb.com//title/tt6217306/?ref_=adv_li	6.3	62	21916	130
Leave No Trace	https://www.imdb.com//title/tt3892172/?ref_=adv_li	7.2	88	21901	109
The Titan	https://www.imdb.com//title/tt4986098/?ref_=adv_li	4.8	33	21691	97
The House with a Clock in Its Walls	https://www.imdb.com//title/tt2119543/?ref_=adv_li	6.1	57	21690	105
Sierra Burgess Is a Loser	https://www.imdb.com//title/tt3120280/?ref_=adv_li	6.0	60	21348	105
Hold the Dark	https://www.imdb.com//title/tt5057140/?ref_=adv_li	5.7	63	21298	125
Padmaavat	https://www.imdb.com//title/tt5935704/?ref_=adv_li	7.0	63	21157	164
Winchester	https://www.imdb.com//title/tt1072748/?ref_=adv_li	5.4	28	21054	99
Braven	https://www.imdb.com//title/tt5001754/?ref_=adv_li	6.1	61	20452	94
Overboard	https://www.imdb.com//title/tt1563742/?ref_=adv_li	5.9	42	20368	112
Life of the Party	https://www.imdb.com//title/tt5619332/?ref_=adv_li	5.5	46	19894	105
Game Over, Man!	https://www.imdb.com//title/tt3317234/?ref_=adv_li	5.4	32	19589	101
Mary Poppins Returns	https://www.imdb.com//title/tt5028340/?ref_=adv_li	7.3	65	19567	130
The Strangers: Prey at Night	https://www.imdb.com//title/tt1285009/?ref_=adv_li	5.2	48	18968	85
The 15:17 to Paris	https://www.imdb.com//title/tt6802308/?ref_=adv_li	5.2	45	18907	94
Mortal Engines	https://www.imdb.com//title/tt1571234/?ref_=adv_li	6.4	44	18827	128
Gringo	https://www.imdb.com//title/tt3721964/?ref_=adv_li	6.1	46	18524	111
Overlord	https://www.imdb.com//title/tt4530422/?ref_=adv_li	7.1	60	18051	110
The Guernsey Literary and Potato Peel Pie Society	https://www.imdb.com//title/tt1289403/?ref_=adv_li	7.4	65	17582	124
Tau	https://www.imdb.com//title/tt4357394/?ref_=adv_li	5.7	43	17257	97
The Darkest Minds	https://www.imdb.com//title/tt4073790/?ref_=adv_li	5.6	39	16599	104
Super Troopers 2	https://www.imdb.com//title/tt0859635/?ref_=adv_li	6.1	41	16520	99
The Grinch	https://www.imdb.com//title/tt2709692/?ref_=adv_li	6.4	51	16412	86
Summer of 84	https://www.imdb.com//title/tt5774450/?ref_=adv_li	6.7	57	16348	105
The House That Jack Built	https://www.imdb.com//title/tt4003440/?ref_=adv_li	7.0	42	16213	152
Operation Finale	https://www.imdb.com//title/tt5208252/?ref_=adv_li	6.5	58	15743	122
22 July	https://www.imdb.com//title/tt7280898/?ref_=adv_li	6.8	69	15499	143
Traffik	https://www.imdb.com//title/tt5670152/?ref_=adv_li	6.1	37	15347	96
Slender Man	https://www.imdb.com//title/tt5690360/?ref_=adv_li	3.2	30	14969	93
The Outsider	https://www.imdb.com//title/tt2011311/?ref_=adv_li	6.3	30	14861	120
Book Club	https://www.imdb.com//title/tt6857166/?ref_=adv_li	6.1	53	14558	104
Incident in a Ghostland	https://www.imdb.com//title/tt6195094/?ref_=adv_li	6.4	44	14510	91
Smallfoot	https://www.imdb.com//title/tt6182908/?ref_=adv_li	6.7	60	14319	96
Early Man	https://www.imdb.com//title/tt4701724/?ref_=adv_li	6.1	68	13950	89
Like Father	https://www.imdb.com//title/tt7170950/?ref_=adv_li	6.1	52	13651	98
Robin Hood	https://www.imdb.com//title/tt4532826/?ref_=adv_li	5.4	32	13445	116
The Hurricane Heist	https://www.imdb.com//title/tt5360952/?ref_=adv_li	5.0	35	13271	103
Cold War	https://www.imdb.com//title/tt6543652/?ref_=adv_li	7.8	91	13244	88
The Favourite	https://www.imdb.com//title/tt5083738/?ref_=adv_li	8.1	90	13217	119
Green Book	https://www.imdb.com//title/tt6966692/?ref_=adv_li	8.3	70	12952	130
Midnight Sun	https://www.imdb.com//title/tt4799066/?ref_=adv_li	6.6	38	12942	91
Calibre	https://www.imdb.com//title/tt6218358/?ref_=adv_li	6.7	76	12754	101
Beirut	https://www.imdb.com//title/tt4669264/?ref_=adv_li	6.4	69	12640	109
The Happytime Murders	https://www.imdb.com//title/tt1308728/?ref_=adv_li	5.3	27	12549	91
Night School	https://www.imdb.com//title/tt6781982/?ref_=adv_li	5.5	43	12347	111
Terminal	https://www.imdb.com//title/tt4463816/?ref_=adv_li	5.3	27	12298	95
The Week Of	https://www.imdb.com//title/tt6821012/?ref_=adv_li	5.1	42	12058	116
The Guilty	https://www.imdb.com//title/tt6742252/?ref_=adv_li	7.6	83	12002	85
